date,wwtp,capacity,temperature,precipitations_96h_sum_mm,precipitations_24h_sum_mm,totalEc_cfu_100ml_a,totalEc_cfu_100ml_b,esblEc_cfu_100ml_a,esblEc_cfu_100ml_b,esblEc_percentage_a,esblEc_percentage_b,flowrate_m3_day,totalEc_loads_a,totalEc_loads_b,esblEc_loads_a,esblEc_loads_b
26_04_2022,Zurich,471000,9.1,35.8,7,1500000,1200000,28000,23000,1.866666667,1.916666667,330658.5182,10530526057,8424420846,196569819.7,161468066.2
26_04_2022,Altenrhein,64000,8.5,24.3,12.8,2800000,1800000,46000,43000,1.642857143,2.388888889,37888.88469,16576387052,10656248819,272326358.7,254565944
26_04_2022,Chur,55000,9.4,8,2.3,2600000,2400000,43000,28000,1.653846154,1.166666667,14949,7066800000,6523200000,116874000,76104000
26_04_2022,Geneva,454000,11.8,10.7,0,2700000,2600000,77000,35000,2.851851852,1.346153846,117997,7017442731,6757537445,200127070.5,90966850.22
26_04_2022,Laupen,62000,9.7,41.3,0.4,2000000,1500000,108000,13000,5.4,0.866666667,36048,11628387097,8721290323,627932903.2,75584516.13
03_05_2022,Lugano,124000,14.1,9.8,3.1,1700000,900000,24000,21000,1.411764706,2.333333333,45559,6245991935,3306701613,88178709.68,77156370.97
03_05_2022,Zurich,471000,12.2,9.6,2.9,3000000,2300000,31000,25000,1.033333333,1.086956522,196026.2207,12485746538,9572405679,129019380.9,104047887.8
03_05_2022,Altenrhein,64000,12.7,4.2,0.2,4500000,3700000,52000,50000,1.155555556,1.351351351,15316.27811,10769258044,8854723280,124444759.6,119658422.7
03_05_2022,Chur,55000,13.1,7.4,0,2000000,na,37000,30000,1.85,na,12338,4486545455,na,83001090.91,67298181.82
03_05_2022,Geneva,454000,13.6,1.7,0,3300000,3100000,42000,19000,1.272727273,0.612903226,142433,10353059471,9725601322,131766211.5,59608524.23
03_05_2022,Laupen,62000,11.7,4.4,4.3,4300000,2700000,84000,14000,1.953488372,0.518518519,19325,13402822581,8415725806,261822580.6,43637096.77
10_05_2022,Lugano,124000,18.5,4.8,0,3500000,3500000,47000,43000,1.342857143,1.228571429,37746,10654112903,10654112903,143069516.1,130893387.1
10_05_2022,Zurich,471000,17.1,1.3,0,2800000,1700000,42000,41000,1.5,2.411764706,180872.4035,10752499570,6528303310,161287493.6,157447315.1
10_05_2022,Altenrhein,64000,16.9,0.9,0,3700000,2800000,85000,69000,2.297297297,2.464285714,15379.7793,8891434906,6728653442,204262693.8,165813245.5
10_05_2022,Chur,55000,17.4,0.1,0,3600000,2400000,58000,53000,1.611111111,2.208333333,12298,8049600000,5366400000,129688000,118508000
10_05_2022,Geneva,454000,17.6,0,0,2800000,2700000,71000,71000,2.535714286,2.62962963,130583,8053577093,7765949339,204215704.8,204215704.8
10_05_2022,Laupen,62000,16.3,1.2,0,3900000,3400000,54000,53000,1.384615385,1.558823529,17129,10774693548,9393322581,149188064.5,146425322.6
17_05_2022,Lugano,124000,20.6,14,0,1100000,700000,13000,12000,1.181818182,1.714285714,38336,3400774194,2164129032,40190967.74,37099354.84
17_05_2022,Zurich,471000,18.9,1,0,1100000,600000,49000,43000,4.454545455,7.166666667,160347.6457,3744849476,2042645169,166816022.1,146389570.4
17_05_2022,Altenrhein,64000,18.7,11,0,1700000,1500000,67000,62000,3.941176471,4.133333333,32548.87576,8645795125,7628642757,340746043.1,315317234
17_05_2022,Chur,55000,19,3.7,0,1500000,1300000,43000,34000,2.866666667,2.615384615,14120,3850909091,3337454545,110392727.3,87287272.73
17_05_2022,Geneva,454000,20.1,0.1,0,1900000,1900000,46000,40000,2.421052632,2.105263158,150979,6318504405,6318504405,152974317.2,133021145.4
17_05_2022,Laupen,62000,19,0,0,1800000,1100000,45000,39000,2.5,3.545454545,16092,4671870968,2855032258,116796774.2,101223871
24_05_2022,Lugano,124000,19.3,15.6,0.9,1700000,1300000,39000,32000,2.294117647,2.461538462,69392,9513419355,7274967742,218249032.3,179076129
24_05_2022,Zurich,471000,14.1,7.8,1.6,1800000,1700000,69000,44000,3.833333333,2.588235294,231757.0408,8856956973,8364903807,339516684,216503392.7
24_05_2022,Altenrhein,64000,14.3,26.4,12.3,1800000,1000000,45000,25000,2.5,2.5,38494.57501,10826599222,6014777346,270664980.6,150369433.6
24_05_2022,Chur,55000,14.2,44.9,6,1600000,1500000,17000,14000,1.0625,0.933333333,39025,11352727273,10643181818,120622727.3,99336363.64
24_05_2022,Geneva,454000,15.8,1.8,0.3,2700000,2200000,33000,31000,1.222222222,1.409090909,134335,7989085903,6509625551,97644383.26,91726541.85
24_05_2022,Laupen,62000,14,6.4,1.2,2300000,1900000,33000,na,1.434782609,na,20662,7664935484,6331903226,109975161.3,na
31_05_2022,Lugano,124000,17.9,12,0,3100000,2500000,71000,66000,2.290322581,2.64,37161,9290250000,7492137097,212776693.5,197792419.4
31_05_2022,Zurich,471000,14.9,0.1,0,2400000,1500000,18000,14000,0.75,0.933333333,155315.8556,7914183722,4946364826,59356377.92,46166071.71
31_05_2022,Altenrhein,64000,14.6,0.6,0.6,3100000,2900000,41000,36000,1.322580645,1.24137931,16593.77264,8037608624,7519053229,106303856,93339971.12
31_05_2022,Chur,55000,15.1,5.4,3.4,2200000,1300000,53000,45000,2.409090909,3.461538462,15413,6165200000,3643072727,148525272.7,126106363.6
31_05_2022,Geneva,454000,14.8,1.1,1.1,2800000,2100000,74000,69000,2.642857143,3.285714286,133648,8242607930,6181955947,217840352.4,203121409.7
31_05_2022,Laupen,62000,13.8,1.1,1,2800000,2100000,47000,33000,1.678571429,1.571428571,18478,8344903226,6258677419,140075161.3,98350645.16
07_06_2022,Lugano,124000,20.5,25.3,4.7,2900000,1500000,54000,43000,1.862068966,2.866666667,59659,13952508065,7216814516,259805322.6,206882016.1
07_06_2022,Zurich,471000,15.9,25.7,3,3000000,na,46000,39000,1.533333333,na,317362.3511,20214162490,na,309950491.5,262784112.4
07_06_2022,Altenrhein,64000,16.3,54.1,8.4,2400000,2400000,36000,25000,1.5,1.041666667,70267.57104,26350339142,26350339142,395255087.1,274482699.4
07_06_2022,Chur,55000,15.9,20.8,3.9,2700000,2400000,19000,17000,0.703703704,0.708333333,41156,20203854545,17958981818,142175272.7,127209454.5
07_06_2022,Geneva,454000,18.5,5.3,0,3600000,2200000,76000,na,2.111111111,na,125421,9945277533,6077669604,209955859,na
07_06_2022,Laupen,62000,17,34.4,2.2,4100000,1600000,37000,25000,0.902439024,1.5625,28517,18858016129,7359225806,170182096.8,114987903.2
14_06_2022,Lugano,124000,23.6,0,0,3300000,2600000,58000,54000,1.757575758,2.076923077,36693,9765072581,7693693548,171628548.4,159792096.8
14_06_2022,Zurich,471000,18.7,3.5,0,4500000,3000000,70000,50000,1.555555556,1.666666667,152327.171,14553551369,9702367580,226388576.9,161706126.3
14_06_2022,Altenrhein,64000,18.1,8.8,0,4700000,4600000,76000,75000,1.617021277,1.630434783,28812.76477,21159374128,20709174679,342151581.6,337649587.2
14_06_2022,Chur,55000,19.2,4.6,0,6500000,6100000,62000,46000,0.953846154,0.754098361,13185,15582272727,14623363636,148630909.1,110274545.5
14_06_2022,Geneva,454000,20.4,0,0,5300000,4600000,114000,96000,2.150943396,2.086956522,122869,14343737885,12449281938,308525682.8,259811101.3
14_06_2022,Laupen,62000,22.2,0,0,5600000,4300000,66000,46000,1.178571429,1.069767442,14941,13495096774,10362306452,159049354.8,110852580.6
21_06_2022,Lugano,124000,25,3.3,3.3,1900000,1700000,29000,18000,1.526315789,1.058823529,35971,5511685484,4931508065,84125725.81,52215967.74
21_06_2022,Zurich,471000,22.9,0.1,0,3200000,2600000,80000,65000,2.5,2.5,146958.4313,9984436944,8112355017,249610923.6,202808875.4
21_06_2022,Altenrhein,64000,21.4,8.2,8.2,3600000,2900000,107000,104000,2.972222222,3.586206897,24981,14051812500,11319515625,417651093.8,405941250
21_06_2022,Chur,55000,22.9,0.8,0.7,3200000,2700000,46000,45000,1.4375,1.666666667,11809,6870690909,5797145455,98766181.82,96619090.91
21_06_2022,Geneva,454000,25.7,4,4,3900000,3800000,90000,74000,2.307692308,1.947368421,129901,11158896476,10872770925,257512995.6,211732907.5
21_06_2022,Laupen,62000,23.1,0.2,0,3500000,na,56000,31000,1.6,na,14521,8197338710,na,131157419.4,72605000
28_06_2022,Lugano,124000,22.6,2.1,2.1,na,na,na,na,na,na,na,na,na,na,na
28_06_2022,Zurich,471000,17.7,7.8,0,2200000,1200000,79000,40000,3.590909091,3.333333333,216766.9712,10124996532,5522725381,363579420.9,184090846
28_06_2022,Altenrhein,64000,18.1,7.2,1.4,6900000,5500000,96000,81000,1.391304348,1.472727273,24586,26506781250,21128593750,368790000,311166562.5
28_06_2022,Chur,55000,17.1,15.5,7.1,4200000,4000000,44000,26000,1.047619048,0.65,29490,22519636364,21447272727,235920000,139407272.7
28_06_2022,Geneva,454000,19.8,1.1,0,9100000,4200000,108000,102000,1.186813187,2.428571429,130044,26066088106,12030502203,309355770.9,292169339.2
28_06_2022,Laupen,62000,16.9,5.2,0,6300000,2900000,88000,85000,1.396825397,2.931034483,15133,15377080645,7078338710,214790967.7,207468548.4
05_07_2022,Lugano,124000,24.8,25.4,0,200000,100000,5000,4000,2.5,4,38444,620064516.1,310032258.1,15501612.9,12401290.32
05_07_2022,Zurich,471000,20.7,8.4,0,4600000,3800000,76000,62000,1.652173913,1.631578947,185075.3426,18075298854,14931768619,298635372.4,243623593.3
05_07_2022,Altenrhein,64000,20.7,10.3,0.1,3800000,2800000,84000,55000,2.210526316,1.964285714,31096,18463250000,13604500000,408135000,267231250
05_07_2022,Chur,55000,19.5,23.5,1.2,4700000,3200000,51000,37000,1.085106383,1.15625,17961,15348490909,10450036364,166547454.5,120828545.5
